2017-01-01,20001,1,1,31,5,4,,,
2017-02-01,20001,2,1,28,4,4,,,
2017-03-01,20001,3,1,31,4,4,,,
2017-04-01,20001,4,2,30,5,5,934.77222,,
2017-05-01,20001,5,2,31,4,4,798.0162,,
2017-06-01,20001,6,2,30,4,4,1303.35771,,
2017-07-01,20001,7,3,31,5,5,1069.9613,934.77222,
2017-08-01,20001,8,3,31,4,4,1502.2013200000001,798.0162,
2017-09-01,20001,9,3,30,4,5,1520.06539,1303.35771,
2017-10-01,20001,10,4,31,5,4,1030.67391,1069.9613,
2017-11-01,20001,11,4,30,4,4,1267.39462,1502.2013200000001,
2017-12-01,20001,12,4,31,5,5,1316.94604,1520.06539,
2018-01-01,20001,1,1,31,4,4,1439.75563,1030.67391,934.77222
2018-02-01,20001,2,1,28,4,4,1580.47401,1267.39462,798.0162
2018-03-01,20001,3,1,31,4,5,1049.3886,1316.94604,1303.35771
2018-04-01,20001,4,2,30,5,4,1169.07532,1439.75563,1069.9613
2018-05-01,20001,5,2,31,4,4,1043.7647,1580.47401,1502.2013200000001
2018-06-01,20001,6,2,30,4,5,1856.83534,1049.3886,1520.06539
2018-07-01,20001,7,3,31,5,4,1251.28462,1169.07532,1030.67391
2018-08-01,20001,8,3,31,4,4,1293.89788,1043.7647,1267.39462
2018-09-01,20001,9,3,30,5,5,1150.79169,1856.83534,1316.94604
2018-10-01,20001,10,4,31,4,4,1470.4100899999999,1251.28462,1439.75563
2018-11-01,20001,11,4,30,4,4,1800.96168,1293.89788,1580.47401
2018-12-01,20001,12,4,31,5,5,1438.67455,1150.79169,1049.3886
2019-01-01,20001,1,1,31,4,4,2295.19832,1470.4100899999999,1169.07532
2019-02-01,20001,2,1,28,4,4,1813.01511,1800.96168,1043.7647
2019-03-01,20001,3,1,31,5,5,1486.68669,1438.67455,1856.83534
2019-04-01,20001,4,2,30,4,4,1275.77351,2295.19832,1251.28462
2019-05-01,20001,5,2,31,4,4,1259.09363,1813.01511,1293.89788
2019-06-01,20001,6,2,30,5,5,1470.65653,1486.68669,1150.79169
2019-07-01,20001,7,3,31,4,4,1647.6384799999998,1275.77351,1470.4100899999999
2019-08-01,20001,8,3,31,4,5,1629.78233,1259.09363,1800.96168
2019-09-01,20001,9,3,30,5,4,1109.93769,1470.65653,1438.67455
2019-10-01,20001,10,4,31,4,4,1678.99318,1647.6384799999998,2295.19832
2019-11-01,20001,11,4,30,4,5,1261.34529,1629.78233,1813.01511
2019-12-01,20001,12,4,31,5,4,1660.00561,1109.93769,1486.68669
2020-01-01,20001,1,1,31,4,4,1561.50552,1678.99318,1275.77351
2020-02-01,20001,2,1,29,4,5,1397.37231,1261.34529,1259.09363
2017-01-01,20002,1,1,31,5,4,,,
2017-02-01,20002,2,1,28,4,4,,,
2017-03-01,20002,3,1,31,4,4,,,
2017-04-01,20002,4,2,30,5,5,550.15707,,
2017-05-01,20002,5,2,31,4,4,505.88633,,
2017-06-01,20002,6,2,30,4,4,834.73521,,
2017-07-01,20002,7,3,31,5,5,522.35365,550.15707,
2017-08-01,20002,8,3,31,4,4,843.43785,505.88633,
2017-09-01,20002,9,3,30,4,5,968.15756,834.73521,
2017-10-01,20002,10,4,31,5,4,845.39319,522.35365,
2017-11-01,20002,11,4,30,4,4,619.71078,843.43785,
2017-12-01,20002,12,4,31,5,5,1065.34529,968.15756,
2018-01-01,20002,1,1,31,4,4,857.45269,845.39319,550.15707
2018-02-01,20002,2,1,28,4,4,750.41853,619.71078,505.88633
2018-03-01,20002,3,1,31,4,5,820.58984,1065.34529,834.73521
2018-04-01,20002,4,2,30,5,4,984.80167,857.45269,522.35365
2018-05-01,20002,5,2,31,4,4,712.00087,750.41853,843.43785
2018-06-01,20002,6,2,30,4,5,966.86044,820.58984,968.15756
